id,publication_year,countries_str
W7006887718,2009,NA
W3124741060,2013,DE;GB;US
W2975665784,2011,NA
W7034788132,1993,NA
W6887824681,2012,NA
W1563017973,2004,AU
W2130883452,2013,US
W4241928692,2016,NA
W1886985563,1968,US
W4255392728,1931,NA
W1982543239,1994,US
W6966977202,2012,NA
W2460870151,2001,CA
W4297432253,1975,NA
W2118942159,2015,ES
W2587239300,2017,AT;CA;CH;DE;ES;FR;GB;HR;IE;LT
W2166830886,2011,GB
W4206723821,2008,NA
W2061184313,1974,NA
W1986310535,1989,US
W2039857112,1988,US
W7015694389,1975,NA
W22217794,2003,US
W2108825259,2013,US
W2060889754,1985,CA
W1967820447,2006,US
W2277796163,2015,GB
W2567325828,2016,DE;US
W2529481065,2006,NA
W2006917372,1990,US
W4235662345,2010,NA
W2475350735,2023,NA
W2624679951,2016,NA
W2087111816,2012,IT
W176373023,2007,NA
W2149315300,2013,DE;US
W2938533736,2019,NA
W6925135148,2017,NA
W1562419279,1972,NA
W2070921605,1993,CA;GB
W2621911108,2013,FR
W4252844521,1993,US
W2058524158,1987,US
W2078436381,2004,US
W2105046342,2004,US
W1999846904,2001,ES
W2020740057,2011,GB;US
W2380427058,2016,FR
W578838036,1997,NA
W2615826748,1996,NA
W1997071389,1992,GB
W149617195,2007,NA
W4244802107,1998,NA
W1506026338,2002,NA
W2138915595,1995,US
W1752237536,2012,US
W2059590932,2006,US
W2108205486,2005,US
