citing_country,n_citations,n_citing_works,endogenous_any_n,endogenous_maj_n,scr_any,scr_majority,n_countries_cited,shannon_entropy,hhi,expected_scr,excess_endogeneity_any,excess_endogeneity_maj
CY,517,22,100,23,0.19342359767891681,0.04448742746615087,54,3.06830075027125,0.07979652741596077,0.0020345764330124234,0.1913890212459044,0.04245285103313845
SG,504,28,110,49,0.21825396825396826,0.09722222222222222,54,2.829397760528894,0.11917810400642448,0.00652428420418509,0.21172968404978318,0.09069793801803713
MX,468,48,90,28,0.19230769230769232,0.05982905982905983,59,3.040701726642243,0.09662802229745907,0.003387171938758113,0.1889205203689342,0.05644188789030172
CZ,433,35,108,22,0.24942263279445728,0.050808314087759814,63,3.147438504520404,0.08256786389413989,0.004160083656327078,0.2452625491381302,0.046648230431432736
TH,392,16,60,15,0.15306122448979592,0.03826530612244898,60,3.1238127422950295,0.09247619879465456,0.0013980609008968049,0.1516631635888991,0.03686724522155217
ZA,390,22,91,18,0.23333333333333334,0.046153846153846156,57,3.1161823412928733,0.08566681568100137,0.00600143215994726,0.2273319011733861,0.0401524139938989
VN,386,17,189,9,0.4896373056994819,0.023316062176165803,46,2.5306815098419286,0.1687621734806384,7.842780663567442e-4,0.48885302763312516,0.022531784109809057
SI,376,23,91,21,0.24202127659574468,0.05585106382978723,64,3.316001600007365,0.0654071579997506,0.0025801611748258106,0.23944111542091887,0.05327090265496142
UA,353,34,75,45,0.21246458923512748,0.1274787535410765,62,3.2989757887379643,0.06686759002770083,0.0017845167596812876,0.2106800724754462,0.1256942367813952
HR,351,22,102,34,0.2905982905982906,0.09686609686609686,58,3.300030753520897,0.06343680702733705,0.001511724388774594,0.289086566209516,0.09535437247732227
SA,320,14,68,11,0.2125,0.034375,68,3.1595802169202227,0.09470486111111112,0.0024892303845235795,0.2100107696154764,0.03188576961547642
HU,314,33,66,16,0.21019108280254778,0.050955414012738856,46,2.7105663504121407,0.14619329388560157,0.002421032291796906,0.20777005051075087,0.048534381720941946
AE,293,19,100,18,0.3412969283276451,0.06143344709897611,59,3.2378591945861115,0.07185623500989129,0.0015230907375623729,0.33977383759008273,0.05991035636141374
NZ,278,20,37,24,0.13309352517985612,0.08633093525179857,42,2.6373420319509986,0.13508950974900438,0.006115095647825049,0.12697842953203106,0.08021583960397352
NG,277,21,30,20,0.10830324909747292,0.07220216606498195,52,2.9412154091613014,0.11281212841854933,0.0015799224815012673,0.10672332661597166,0.07062224358348068
RO,270,23,68,23,0.2518518518518518,0.08518518518518518,53,3.1339456342084495,0.07597977325848662,0.00196637834028575,0.24988547351156606,0.08321880684489943
EG,214,11,18,3,0.08411214953271028,0.014018691588785047,50,3.0064706859408044,0.10423900462962964,0.0014776253424112573,0.08263452419029901,0.01254106624637379
BG,207,15,48,11,0.2318840579710145,0.05314009661835749,47,3.2028930757115015,0.06357142857142857,0.0012048329715045635,0.23067922499950994,0.05193526364685293
CL,200,12,47,25,0.235,0.125,44,3.0786702886821993,0.07900738540969128,0.0022732697575557803,0.2327267302424442,0.12272673024244422
PK,186,9,33,10,0.1774193548387097,0.053763440860215055,53,3.234425116881976,0.0693870523415978,0.0020459427818002025,0.17537341205690948,0.05171749807841485
AR,185,23,48,10,0.2594594594594595,0.05405405405405406,45,3.023923154801827,0.08350413223140496,0.0014321599472601415,0.2580272995121993,0.052621894106793916
MA,169,13,16,9,0.09467455621301775,0.05325443786982249,49,3.262633144183788,0.07165792152870233,6.819809272667341e-4,0.09399257528575101,0.05257245694255575
QA,169,9,26,0,0.15384615384615385,0,39,2.9992896482423985,0.09613365506824587,0.0011366348787778902,0.15270951896737597,-0.0011366348787778902
EE,164,14,45,23,0.27439024390243905,0.1402439024390244,34,2.679634791088655,0.10952921652546073,0.0014435262960479204,0.2729467176063911,0.1388003761429765
MO,157,9,27,2,0.17197452229299362,0.012738853503184714,41,2.972696894906114,0.08928571428571429,8.524761590834177e-4,0.17112204613391022,0.011886377344101296
EC,156,5,71,4,0.4551282051282051,0.02564102564102564,43,2.969250978613982,0.09387860082304526,5.001193466622716e-4,0.45462808578154285,0.025140906294363368
CO,154,8,49,7,0.3181818181818182,0.045454545454545456,42,3.0322969358691987,0.08399248179183962,0.0011252685299901113,0.31705654965182806,0.04432927692455534
LT,147,8,49,7,0.3333333333333333,0.047619047619047616,40,2.9036923948591498,0.10060911573198907,5.569510906011662e-4,0.33277638224273215,0.04706209652844645
RE,145,1,98,0,0.6758620689655173,0,24,1.7972148384041435,0.34085327783558794,2.2732697575557802e-5,0.6758393362679417,-2.2732697575557802e-5
KZ,143,8,9,2,0.06293706293706294,0.013986013986013986,51,3.364942095889778,0.060678604487854705,1.5912888302890463e-4,0.06277793405403403,0.013826885102985081
DZ,142,8,25,13,0.176056338028169,0.09154929577464789,37,3.021289953162827,0.07666790585947554,6.251491833278396e-4,0.17543118884484116,0.09092414659132005
