citing_country,citing_year,n_citations,scr_any,scr_majority
FI,2001,14,0.14285714285714285,0.14285714285714285
FI,2004,21,0.14285714285714285,0.14285714285714285
FI,2006,11,0,0
FI,2007,31,0.12903225806451613,0.06451612903225806
FI,2009,15,0.06666666666666667,0.06666666666666667
FI,2010,13,0.5384615384615384,0
FI,2011,24,0.041666666666666664,0.041666666666666664
FI,2012,21,0.09523809523809523,0.09523809523809523
FI,2013,15,0.3333333333333333,0.3333333333333333
FI,2014,35,0.5142857142857142,0
FI,2015,52,0.28846153846153844,0.11538461538461539
FI,2016,36,0.5277777777777778,0.19444444444444445
FI,2017,62,0.43548387096774194,0.1935483870967742
FI,2018,90,0.3,0.13333333333333333
FI,2019,294,0.3707482993197279,0.12585034013605442
FI,2020,261,0.36015325670498083,0.2796934865900383
FI,2021,381,0.3359580052493438,0.1784776902887139
FI,2022,153,0.5163398692810458,0.27450980392156865
FI,2023,168,0.3630952380952381,0.17261904761904762
FI,2024,324,0.28703703703703703,0.16358024691358025
FI,2025,181,0.3425414364640884,0.1270718232044199
FR,2000,17,0.6470588235294118,0.23529411764705882
FR,2001,2,0.5,0.5
FR,2002,15,0.2,0.2
FR,2004,18,0.3333333333333333,0.3333333333333333
FR,2005,19,0.7894736842105263,0.7894736842105263
FR,2006,31,0.41935483870967744,0.03225806451612903
FR,2007,70,0.2857142857142857,0.07142857142857142
FR,2008,27,0.37037037037037035,0.037037037037037035
FR,2009,11,0.2727272727272727,0
FR,2010,32,0.125,0.125
FR,2011,55,0.36363636363636365,0
FR,2012,15,0.4666666666666667,0.06666666666666667
FR,2013,81,0.2716049382716049,0.24691358024691357
FR,2014,153,0.16993464052287582,0.06535947712418301
FR,2015,200,0.255,0.155
FR,2016,161,0.40993788819875776,0.11801242236024845
FR,2017,144,0.2916666666666667,0.1527777777777778
FR,2018,179,0.16759776536312848,0.1005586592178771
FR,2019,578,0.38235294117647056,0.08823529411764706
FR,2020,395,0.46835443037974683,0.11139240506329114
FR,2021,298,0.3691275167785235,0.17114093959731544
FR,2022,543,0.30386740331491713,0.09208103130755065
FR,2023,494,0.3825910931174089,0.18016194331983806
FR,2024,271,0.33579335793357934,0.25461254612546125
FR,2025,217,0.3778801843317972,0.07834101382488479
GB,2000,133,0.6240601503759399,0.09022556390977443
GB,2001,66,0.3484848484848485,0.19696969696969696
GB,2002,25,0.48,0.48
GB,2003,94,0.2978723404255319,0.22340425531914893
GB,2004,8,0.125,0.125
GB,2005,82,0.2926829268292683,0.23170731707317074
GB,2006,37,0.35135135135135137,0.16216216216216217
GB,2007,160,0.40625,0.175
GB,2008,155,0.32903225806451614,0.2064516129032258
GB,2009,121,0.5950413223140496,0.2727272727272727
GB,2010,76,0.40789473684210525,0.3026315789473684
GB,2011,217,0.37327188940092165,0.2626728110599078
GB,2012,269,0.3940520446096654,0.21189591078066913
GB,2013,249,0.24096385542168675,0.2289156626506024
GB,2014,379,0.40897097625329815,0.158311345646438
GB,2015,309,0.4110032362459547,0.2459546925566343
GB,2016,488,0.4098360655737705,0.2028688524590164
GB,2017,589,0.3904923599320883,0.25127334465195245
GB,2018,644,0.4254658385093168,0.16925465838509315
GB,2019,1007,0.407149950347567,0.21946375372393248
GB,2020,1141,0.4005258545135846,0.2252410166520596
GB,2021,1027,0.4050632911392405,0.16845180136319376
GB,2022,1241,0.36422240128928285,0.1498791297340854
GB,2023,1190,0.38907563025210085,0.14201680672268907
GB,2024,1088,0.38878676470588236,0.15992647058823528
GB,2025,629,0.40381558028616854,0.12400635930047695
GR,2001,29,0.10344827586206896,0.10344827586206896
GR,2003,11,0.18181818181818182,0
GR,2006,12,0.08333333333333333,0.08333333333333333
GR,2007,30,0.36666666666666664,0
GR,2008,35,0.34285714285714286,0.02857142857142857
GR,2010,55,0.07272727272727272,0.07272727272727272
GR,2011,48,0.08333333333333333,0.08333333333333333
GR,2012,100,0.32,0.1
GR,2013,93,0.1827956989247312,0.1827956989247312
GR,2014,42,0.2619047619047619,0.11904761904761904
GR,2015,80,0.175,0.075
GR,2016,51,0.27450980392156865,0.17647058823529413
GR,2017,75,0.24,0.04
GR,2018,125,0.144,0.112
GR,2019,246,0.23983739837398374,0.16666666666666666
GR,2020,234,0.2564102564102564,0.09829059829059829
GR,2021,173,0.34104046242774566,0.24855491329479767
GR,2022,432,0.21064814814814814,0.1712962962962963
GR,2023,162,0.17901234567901234,0.16666666666666666
GR,2024,216,0.16203703703703703,0.14814814814814814
GR,2025,299,0.21739130434782608,0.2040133779264214
HK,2013,19,0,0
HK,2014,39,0.1282051282051282,0.07692307692307693
