work_id,openalex_id,ref_quality,confidence,cited_countries,cited_year
9863,W2495148423,xml_bibl,1,SE,2016
9863,W2146220792,xml_bibl,1,NL,2012
9863,W2063434074,xml_bibl,1,FI;NL,2011
9863,W2217917685,xml_bibl,1,SE,2015
9863,W2734290118,xml_bibl,1,CN;HK;US,2017
9863,W2895982685,xml_bibl,1,US,2018
9863,W2000061444,xml_bibl,1,GB,2008
9863,W2510099718,xml_bibl,1,SE,2016
9863,W2069299826,xml_bibl,1,CZ,2012
9877,W1765144422,xml_bibl,1,US,2012
9893,W2772262375,xml_bibl,1,MX,2017
9896,W2892011190,xml_bibl,1,DE,2018
9911,W2035190383,xml_bibl,1,AT,2012
9914,W2234661834,xml_bibl,1,DE,2004
9914,W2603466734,xml_bibl,1,US,2017
9917,W2065139259,xml_bibl,1,CA,2010
9917,W2017483902,xml_bibl,1,US,1975
9917,W2188849270,xml_bibl,1,US,2015
9918,W2883763531,xml_doi_only,1,AT,2018
9919,W2121801714,xml_bibl,1,GB,2009
9919,W2048084432,xml_bibl,1,GB;US,2013
9920,W2901143486,xml_doi_only,1,IT,2018
9920,W3191367481,xml_doi_only,1,DE,2018
9921,W2901143486,xml_doi_only,1,IT,2018
9927,W2754566940,xml_bibl,1,US,2017
9938,W2057525273,xml_bibl,1,US,2008
9939,W4239510810,xml_bibl,1,US,1995
9939,W2149478650,xml_bibl,1,PL,2013
9948,W2761810437,xml_bibl,1,IT,2017
9948,W2338696281,xml_bibl,1,IT,2016
9948,W2799236380,xml_bibl,1,BE;IT,2017
9948,W1604953524,xml_bibl,1,US,2004
9948,W2761894951,xml_bibl,1,BG,2017
9949,W2061170058,xml_bibl,1,IT,2011
9949,W2558653299,xml_bibl,1,IT,2016
9949,W2742101368,xml_bibl,1,US,2017
9949,W2767339331,xml_bibl,1,GB;GR,2017
9949,W2747721582,xml_bibl,1,IT,2017
9949,W2606029294,xml_bibl,1,US,2017
9949,W2770169988,xml_bibl,1,GR,2017
9958,W2036699209,xml_bibl,1,GB,2013
9959,W2127192518,xml_bibl,1,GB,2011
9961,W2910465902,xml_bibl,1,FI,2019
9961,W2904245610,xml_bibl,1,FI,2018
9966,W2153108424,xml_bibl,1,GB,2006
9966,W2011669570,xml_bibl,1,DE,2009
