author_id,n_citations_total,n_works,n_countries_cited,shannon_entropy,hhi,top_country,top_country_share,self_cite_rate,author_name,author_countries,max_entropy,entropy_norm
https://openalex.org/A5005227218,170,5,31,2.667712222525461,0.1114878892733564,US,0.21764705882352942,0.15447154471544716,Giovanni Colavizza,CH;GB;NL,3.4339872044851463,0.7768556094330084
https://openalex.org/A5009229122,520,10,38,2.6645810499694043,0.12499999999999999,US,0.2865384615384615,0.34908136482939633,Enrico Gobbetti,IT,3.6375861597263857,0.7325135221456391
https://openalex.org/A5054033830,340,18,41,2.66318534436667,0.13544982698961938,US,0.2676470588235294,0.27710843373493976,Julianne Nyhan,GB,3.713572066704308,0.7171492289713858
https://openalex.org/A5030028705,88,3,22,2.6629855544765606,0.09814049586776859,US,0.22727272727272727,0.26785714285714285,Laura Hernández‐Lorenzo,ES,3.091042453358316,0.8615169783848534
https://openalex.org/A5052039493,131,4,26,2.662936458697073,0.1057630674203135,US,0.1984732824427481,0.047619047619047616,Georgia Panagiotidou,BE,3.258096538021482,0.8173288997489844
https://openalex.org/A5087960974,131,4,26,2.662936458697073,0.1057630674203135,US,0.1984732824427481,0.047619047619047616,Andrew Vande Moere,BE,3.258096538021482,0.8173288997489844
https://openalex.org/A5059869608,53,4,20,2.6628607683094665,0.09362762548949805,US,0.20754716981132076,0.16666666666666666,Mats Dahllöf,SE,2.995732273553991,0.8888847617715778
https://openalex.org/A5016085121,52,5,21,2.660753709241804,0.10798816568047337,US,0.2692307692307692,0.3333333333333333,Alíz Horváth,AT,3.044522437723423,0.8739478074700654
https://openalex.org/A5021571150,146,3,27,2.6603701145442695,0.11568774629386376,US,0.2602739726027397,0.12121212121212122,Lars Wieneke,LU,3.295836866004329,0.8071910785346422
https://openalex.org/A5021351968,195,10,34,2.6515356588546237,0.12646942800788954,GB,0.28205128205128205,0.3007518796992481,Tobias Blanke,GB,3.5263605246161616,0.7519184837583329
https://openalex.org/A5038857893,94,3,24,2.6507192949767804,0.1072883657763694,GB,0.2127659574468085,0.27631578947368424,Leonardo Impett,GB;US,3.1780538303479458,0.8340699800816682
https://openalex.org/A5071623753,167,5,29,2.6504773405752315,0.1091828319409086,US,0.2215568862275449,0.2857142857142857,J. Berenike Herrmann,CH,3.367295829986474,0.7871233994269752
https://openalex.org/A5059975327,189,4,32,2.6471862938040647,0.12387671117829847,US,0.2698412698412698,0.04929577464788732,Enrica Salvatori,IT,3.4657359027997265,0.7638165076760717
https://openalex.org/A5045392938,130,11,26,2.6434964932233758,0.10508875739644973,FR,0.2,0.4246575342465753,Laurent Romary,FR,3.258096538021482,0.8113622363162605
