id,publication_year,type,countries_str,n_countries
https://openalex.org/W397373407,2012,book,NA,0
https://openalex.org/W1589130351,2010,book,NA,0
https://openalex.org/W308093650,2013,article,NA,0
https://openalex.org/W2025032302,2004,article,AU,1
https://openalex.org/W3204381272,2018,book-chapter,NA,0
https://openalex.org/W2016368388,2013,article,AU,1
https://openalex.org/W1977991422,2010,article,AU,1
https://openalex.org/W2112301801,2009,article,DE;DK;FR;GB;NL,5
https://openalex.org/W2148880160,2008,article,GB;GH;US,3
https://openalex.org/W2503492196,2012,book-chapter,AU,1
https://openalex.org/W2284448845,2013,article,NA,0
https://openalex.org/W3131310277,2018,book-chapter,GB,1
https://openalex.org/W76698998,2007,article,NA,0
https://openalex.org/W1657742319,2008,book-chapter,DE;PT,2
https://openalex.org/W2022479233,2012,article,NA,0
https://openalex.org/W2003599752,2009,article,DE;PT,2
https://openalex.org/W923912209,2018,book-chapter,AU,1
https://openalex.org/W2135067197,2013,article,NA,0
https://openalex.org/W3186535282,2018,book-chapter,US,1
https://openalex.org/W101126631,2009,article,AU,1
https://openalex.org/W111228517,1990,standard,NA,0
https://openalex.org/W2088165211,2009,article,PT,1
https://openalex.org/W3123465013,2015,article,NA,0
https://openalex.org/W1999138303,2013,book,US,1
https://openalex.org/W3203931103,1959,article,NA,0
https://openalex.org/W2147504831,1988,article,US,1
https://openalex.org/W2624304035,2006,article,NA,0
https://openalex.org/W2802512257,2005,article,NA,0
https://openalex.org/W2161234420,2007,article,US,1
https://openalex.org/W2125165932,2007,article,NA,0
https://openalex.org/W1622719107,2004,article,NA,0
https://openalex.org/W2946242144,1998,book,NA,0
https://openalex.org/W2103315535,2008,article,CA;US,2
https://openalex.org/W2054496218,1999,article,US,1
https://openalex.org/W2167434739,2006,article,CZ;US,2
https://openalex.org/W562522969,1958,book,NA,0
https://openalex.org/W1526843360,2008,article,US,1
https://openalex.org/W1546621621,2002,article,US,1
https://openalex.org/W2117289367,2005,article,US,1
https://openalex.org/W2125646999,2008,article,US,1
https://openalex.org/W152458668,1976,article,NA,0
https://openalex.org/W2107443497,2007,article,US,1
https://openalex.org/W2088584427,2003,review,GB,1
https://openalex.org/W1568593498,2008,article,US,1
https://openalex.org/W2152243665,2009,article,NA,0
https://openalex.org/W1129950429,1999,book,NA,0
https://openalex.org/W2055562880,2007,review,US,1
https://openalex.org/W2080879471,2008,article,US,1
https://openalex.org/W2588141024,2008,article,US,1
https://openalex.org/W2159564704,2007,article,NA,0
https://openalex.org/W2400828078,2008,article,NA,0
https://openalex.org/W2046635578,2009,article,US,1
https://openalex.org/W1999765241,2009,article,IT,1
https://openalex.org/W2074948659,2008,article,NA,0
https://openalex.org/W81034061,2009,article,NA,0
https://openalex.org/W227300276,2009,article,GB,1
https://openalex.org/W1597236457,1996,article,NA,0
https://openalex.org/W2161131159,2013,article,US,1
https://openalex.org/W2006006467,2008,article,US,1
https://openalex.org/W2097168691,1984,article,US,1
https://openalex.org/W2268784800,2009,article,GB,1
https://openalex.org/W1705720512,2007,article,US,1
https://openalex.org/W1536280854,2009,article,NA,0
https://openalex.org/W587117933,2007,article,NA,0
https://openalex.org/W2292258789,2019,article,GR,1
https://openalex.org/W1490781083,2016,book,NA,0
https://openalex.org/W1580896313,2001,book,NA,0
https://openalex.org/W1496535852,1999,article,NA,0
https://openalex.org/W635849252,1974,book,NA,0
https://openalex.org/W83383156,2007,article,US,1
https://openalex.org/W1913770964,2009,article,NA,0
https://openalex.org/W1804232089,2009,article,US,1
https://openalex.org/W1494137514,2011,book,NA,0
https://openalex.org/W1978246972,2018,book-chapter,NA,0
https://openalex.org/W2155355283,1991,article,US,1
https://openalex.org/W1964729842,1989,article,US,1
https://openalex.org/W2127244520,2007,article,NA,0
https://openalex.org/W2011698639,2003,article,GB,1
https://openalex.org/W2167699886,2007,article,NL,1
https://openalex.org/W1966122741,1993,article,NA,0
https://openalex.org/W2117819927,2003,article,GB,1
https://openalex.org/W2100641970,2003,article,US,1
https://openalex.org/W2399869838,2009,article,NA,0
https://openalex.org/W1996508650,1982,article,GB,1
https://openalex.org/W173839852,2013,article,US,1
https://openalex.org/W2912482211,2005,book-chapter,AR;CL,2
https://openalex.org/W565434046,2015,book,NA,0
https://openalex.org/W2115127435,2007,article,GR,1
https://openalex.org/W2130252848,2003,article,NA,0
https://openalex.org/W2152225153,1999,article,NA,0
https://openalex.org/W2061751973,2001,article,US,1
https://openalex.org/W2065024936,2012,article,GB,1
https://openalex.org/W2074801537,2001,article,US,1
https://openalex.org/W2068542253,2008,review,US,1
https://openalex.org/W2157997270,2007,article,GR,1
https://openalex.org/W2156479231,2008,book-chapter,GR,1
https://openalex.org/W2114580249,2009,article,NA,0
https://openalex.org/W2062998971,2015,article,CL;US,2
https://openalex.org/W2133922473,2008,article,NA,0
https://openalex.org/W1989932697,2007,article,US,1
https://openalex.org/W2029735711,2004,article,CA,1
https://openalex.org/W2022911304,1998,article,NA,0
https://openalex.org/W2130271650,2008,article,GR,1
https://openalex.org/W1900122654,2014,article,GB;US,2
https://openalex.org/W4254960057,2014,article,US,1
https://openalex.org/W1542881959,2008,book-chapter,GR,1
https://openalex.org/W53642921,2012,article,GB,1
https://openalex.org/W650244918,2014,article,US,1
https://openalex.org/W187359510,2009,article,GB,1
https://openalex.org/W1593943214,2014,article,GB,1
https://openalex.org/W2973304857,2014,article,NA,0
https://openalex.org/W1971292368,2014,article,AU;US,2
https://openalex.org/W1558508164,2002,article,GR,1
https://openalex.org/W1550909737,2005,book-chapter,GR,1
https://openalex.org/W50609926,2002,article,GR,1
https://openalex.org/W2039372225,2004,article,NA,0
